City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
477,Montepuez,MZ,-13.13,39.0,83.37,30,0,5.84,clear sky,0.0,0
478,Shingu,JP,33.73,135.98,77.0,73,75,13.87,broken clouds,0.0,0
479,Ziro,IN,27.63,93.83,78.8,100,90,3.36,mist,0.0,0
480,Cabo San Lucas,MX,22.89,-109.91,84.99,59,0,16.06,clear sky,0.0,0
481,Nosy Varika,MG,-20.58,48.53,72.99,75,83,2.77,light rain,0.33,0
482,Okmulgee,US,35.62,-95.96,69.8,100,1,6.93,clear sky,0.0,0
483,Aksu,CN,41.12,80.26,88.77,17,0,4.52,clear sky,0.0,0
484,Alofi,NU,-19.06,-169.92,73.4,94,57,14.99,light rain,0.17,0
485,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,60.48,93,91,4.54,overcast clouds,0.0,0
486,Burns Lake,CA,54.23,-125.75,40.28,91,85,3.89,overcast clouds,0.0,0
487,Santa Isabel,BR,-23.32,-46.22,55.4,93,65,3.02,broken clouds,0.0,0
488,Tamandare,BR,-8.76,-35.1,74.84,82,78,12.84,light rain,0.18,0
489,Logan Lake,CA,50.5,-120.8,60.8,67,20,16.11,few clouds,0.0,0
490,Murphy,US,33.02,-96.61,84.0,51,75,20.8,light rain,0.0,0
491,Jalu,LY,29.03,21.55,87.49,30,0,3.36,clear sky,0.0,0
492,Walvis Bay,NA,-22.96,14.51,55.99,58,0,2.24,clear sky,0.0,0
493,Zhezkazgan,KZ,47.8,67.71,89.6,25,0,15.66,clear sky,0.0,0
494,Hit,IQ,33.64,42.83,108.79,10,0,11.68,clear sky,0.0,0
495,Kalabo,ZM,-14.97,22.68,72.21,21,0,9.31,clear sky,0.0,0
496,Fallon,US,39.47,-118.78,73.0,22,1,4.7,clear sky,0.0,0
497,Flinders,AU,-34.58,150.86,55.0,82,88,1.99,light rain,0.25,0
498,Plouzane,FR,48.38,-4.62,62.6,67,61,11.41,broken clouds,0.0,0
499,Nushki,PK,29.55,66.02,102.16,9,0,8.28,clear sky,0.0,0
500,Saint-Augustin,CA,51.23,-58.65,60.67,93,100,17.16,overcast clouds,0.0,0
501,Morondava,MG,-20.28,44.28,79.66,44,0,5.68,clear sky,0.0,0
502,Dillon,US,34.42,-79.37,73.99,100,1,4.36,clear sky,0.0,0
503,Marystown,CA,47.17,-55.15,57.13,92,100,8.97,overcast clouds,0.0,0
504,Barabai,ID,-2.58,115.38,76.51,91,99,0.36,overcast clouds,0.0,0
505,Ulladulla,AU,-35.35,150.47,53.6,93,90,10.29,overcast clouds,0.0,0
506,Brownsville,US,25.9,-97.5,81.0,88,40,10.29,scattered clouds,0.0,0
507,Pascagoula,US,30.37,-88.56,72.0,94,1,4.27,mist,0.0,0
508,Barranca,PE,-10.75,-77.77,59.58,86,98,4.27,overcast clouds,0.0,0
509,Srednekolymsk,RU,67.45,153.68,71.53,41,0,7.25,clear sky,0.0,0
510,San Isidro,PE,-12.12,-77.05,59.0,87,90,9.17,overcast clouds,0.0,0
511,Dunedin,NZ,-45.87,170.5,43.0,87,100,4.0,light rain,0.77,0
512,Vila Velha,BR,-20.33,-40.29,64.99,93,0,2.24,clear sky,0.0,0
513,Buribay,RU,51.96,58.16,87.64,47,78,7.87,broken clouds,0.0,0
514,Dongsheng,CN,39.82,109.98,60.67,84,100,8.34,light rain,0.15,0
515,Pilar,BR,-9.6,-35.96,71.6,94,90,4.7,light rain,0.0,0
516,Woodward,US,36.43,-99.39,73.4,88,1,5.82,clear sky,0.0,0
517,Belle Fourche,US,44.67,-103.85,64.0,72,1,10.29,clear sky,0.0,0
518,San Cristobal,VE,7.77,-72.22,63.95,84,58,1.54,broken clouds,0.0,0
519,Sovetskiy,RU,61.36,63.58,79.72,28,16,9.35,few clouds,0.0,0
520,San Policarpo,PH,12.18,125.51,84.78,71,98,3.89,light rain,0.24,0
521,Semey,KZ,50.41,80.23,82.4,32,75,13.42,broken clouds,0.0,0
522,Sept-Iles,CA,50.2,-66.38,66.2,100,90,8.05,overcast clouds,0.0,0
